Comment,Sentiment
lets forget apple pay required brand new iphone order use significant portion apples user base wasnt able use even wanted successive iphone incorporated technology older iphones replaced number people could use technology increased,1
nz retailers don’t even contactless credit card machines like paywave support apple pay don’t like high fees come,0
forever acknowledge channel help lessons ideas explanations quite helpful youll sit comfort monitor account growth,2
whenever go place doesn’t take apple pay doesn’t happen often it’s drag ‘contactless covid’ habits getting apple card i’ve gotten used apple pay get seriously annoyed store doesn’t take feels like shock it’s crazy quickly took shopping routine i’ve officially brainwashed apple feels inconvenient even carry physical card pocket,0
apple pay convenient secure easy use used korean japanese airports need physical credit cards,2
we’ve hounding bank adopt apple pay understand don’t want extra fees easy quick checkout,1
got apple pay south africa it’s widely accepted,2
need apple pay physical credit card,1
united states abundance retailers accept apple pay still good carry physical card still large quantity places accept apple pay,2
cambodia universal qr code system scan send money back forth banks take profit merchant receive payment lot stores supermarkets start abandon pos machine together,1
wow really went town psu test rack thats serious bit kit flexible good choices wouldnt surprise choma start offering bespoke rack psu makers watch videos theyll want make sure passes exact rack really push industry well done open source test interface hardware software,2
lab exciting thing ive seen reallly going shake qualiity even basic components manufactured,2
linus im engineer love lmg content across channels much looking forward lab content hope engineering team get camera time hosting roles,2
used time linus smartest guy room video clearly shows team built experts respective fields make linus look like child kudos linus lmg youve grown beyond imagined best,2
holy crap looking chroma systems back designing power supplies looks like guys went multimeter oscilloscopes terrible making accurate voltage measurements bit adcs looking waveforms,0
love direction channel going tech channels even best trusted ones going review products based experience things measure pc youre really going mathematically demonstrate product quality one love,2
excited ltt lab lot content everyone seems saying exciting see enthusiastic new crew get things running,2
adore working relationship linus team employees walk eggshells around boss wish could like,2
lmgs growth honestly something truly aspire content want watch technical depth engineering oriented sciencebased content make us consumers much much educated topics thus picking product pick best choice well know exactly picked helps greatly buyers remorse,2
love people ltt added labs clearly theyre knowledgeable passionate tech labs gonna killer love,2
linus turn key lights bounce walls you’ll get much softer glow shadow way even lighting it’s simple fix i’m sure along lines people got idea beam lights directly face,2
dan continues new favorite air confidence comforting presence like dan shows know things going fine,2
dan managing set soldering station one box needed incredibly amusing,2
linus gets employees cases stuff stolen office also linus proudly talks stuff stolen work hes using upgraded setup linus using monitor table also linus uses monitor chair video hilarious,2
linus table also linus lets use chair,1
dan man saving day riley needs give theme like brian electrician,2
dan continues favourite hes like incredibly patient longsuffering dad gets things,2
dan treasure channel long lacked mr fixit type sad dan appears quite capable funny,2
blows mind quickly dan became rock upon things linus standslove,2
hey linus good trick streaming lights bounce wall much easier eyes nice softer look also indoors id recommend hypercardioid mic looks like short shotgun like audiotechnica,2
unstoppable experiments liquid nitrogen,2
one best things dude never takes credit wheb achieves something always respect us audience team always polite videos congratulate achievement come everything,2
liquid nitrogen ഇതുവരെ തീർന്നില്ലേ മച്ചാനെ,1
liquid nitrogen never ends poli,2
views likes power,2
കേരളത്തിൽ ആദ്യമായി പെട്രോളിനെ എയ്സ് ആക്കിയ മച്ചാന്മാർ,1
epozhum safety first priority goggles,2
congratulations achieving million subscribers,2
