Comment,Sentiment
"GUYS SEMOGA SUKA SAMA KONTEN BARU KALI INI YA!!
KALO ADA IDE LAIN (TOPIK, BINTANG TAMU, DLL), KOMEN YAA!
RAMEIN YUKKKK, KONTEN EDUKASI LETS GOOOO!!!",Positif
Bang kpn bikin konten ini lg? Jdi ngakak ama youtuber mecahkan matematika ajak youtuber player minecraft juga bng❤,Positif
Gara2 ini jadi ngerti peluang ya ampuuun,Positif
28:16 ga expect fadil bener😭,Positif
Bang Jerome coba youtuber selanjutnya adalah Helena oryzani dan Regita masri dan Ryan drama dan meisse,Netral
Gokil seru banget,Positif
3:54 wkwkwkkw...kocak,Positif
bang david kaya guru PKN,Netral
Kenapa matematika itu menyenagkan seru banget belajar matematika,Positif
"1:43 kenapa gk ""Halo ges david disini""",Netral
coba undang ko Audrey sama kak Winda nata,Netral
1:01 =bang gimana cara les online di Abang Jerome Polin berapa biayanya saya disuruh orangtua saya bang,Netral
Aku sampe ikutan ngitung😂,Positif
"""Sebenernya wallahualam sih"" WKWMWKW",Netral
"sebenernya waktu bahas pangkat minus jangan dibilang ""dibalik' tapi lebih mudah jadi '1 per' ajaa",Netral
rame banget konten inii,Positif
Vaia🙏,Netral
aku doang nih 2025,Netral
"menyenangkan bang jer kalau guru nya asik,kalau guru aku mah😭",Positif
Waduh agak lain nih video 🤣,Netral
Yuhuuu,Positif
Sepp,Positif
TRENDINGG YOK BISA YOK,Positif
I like it.,Positif
HADIRRRRR,Netral
Bareng Youtuber gaming pasti seru sih! 😆,Positif
Siip bang..,Positif
GASABARR,Positif
Ehwkkk,Netral
Yeyyy seruuu nii,Positif
Yuhuu,Positif
"Detik"" Jerome Cium Hitomi😥😭

https://youtu.be/u9_RRPZslK8",Netral
"Detik"" Jerome Cium Hitomi😥😭

https://youtu.be/u9_RRPZslK8",Netral
Bang jerome...,Netral
Can't waittt,Positif
"Kak nessie dong bang jer, lele juga dong",Netral
Yukyukknobarrr,Positif
Asik,Positif
Ok siap.. gas nonton,Positif
Fadil Pasti bikin ngakak🤣,Positif
Ayo nonton,Positif
Yuhuu seru nihh,Positif
Hayaku,Positif
YOII!!!,Positif
Yeayyyyyy,Positif
"YOOOOOOO, BISA YUK TRENDING LAGI",Positif
"""""SEMOGA LAGU CIPTAANKU LAKU, BUAT BIAYA ANAK DAN ISTRI, AMIN"""".*",Netral
Yoiiii,Positif
part 2!!!,Netral
Gaa sabarrr,Positif
Siap,Netral
Yepp0,Netral
Bikin konten cerita horror lg bangg ituu cocok bgt,Positif
Sama kak jessica jane atau Sisca khol dong bang collabnya sesekali klo bisaaa🙏😊🤗👌😁,Positif
Yahaa,Netral
Waseekk mantap jiwaaa,Positif
Kak jerome bisa kasih tau caranya biar bisa nguasain pelajaran kecepatan debit sama skala,Netral
Let's gooooooo,Positif
Part 2 jessica jane jess no limit,Positif
"Yudhist Ardhana, Edho zell, nagita Ama Raffi",Positif
Yukkkk next nya bisa undang Yuki Kato dong,Positif
Yihii,Positif
COLLAB SAMA TSANA SAMAAA PAUSSSSS,Positif
kak ajakin leo juga dong..,Positif
Next sama Leo,Positif
Konten baru asixxx,Positif
yeayyy,Positif
Seruu sih niihh,Positif
MAS DEDI EEE BACA INI IKUTAN DONK INI KALO GAK IKUT PODCAST DI DELAY 2 MINGGU,Positif
tes ips bangg,Positif
Gooooooowwww,Positif
