Comment,Sentiment
"let forget apple pay requir brand new iphone order use significant portion appl user base wasnt able use even want successive iphone incorporat technology older iphon replac number people could use technology increas",1
"retailer don even contactles credit card machin like paywave support apple pay don like high fe come",0
"forever acknowledge channel help lesson idea explanation quite helpful youll sit comfort monitor account growth",2
"whenever place doesn take apple pay doesn happen often drag contactles covid habit gett apple card gotten us apple pay get serious annoy store doesn take feel like shock crazy quick took shopp routine official brainwash apple feel inconvenient even carry physical card pocket",0
"apple pay convenient secure easy use us korean japanese airport ne physical credit card",2
"hound bank adopt apple pay understand don want extra fe easy quick checkout",1
"got apple pay south africa wide accept",2
"ne apple pay physical credit card",1
"unit stat abundance retailer accept apple pay still good carry physical card still large quantity plac accept apple pay",2
"cambodia universal code system scan send money back forth bank take profit merchant receive payment lot stor supermarket start abandon po machine together",1
"wow real went town psu test rack that seriou bit kit flexible good choic wouldnt surprise choma start offer bespoke rack psu maker watch video theyll want make sure pass exact rack real push industry well done open source test interface hardware software",2
"lab excit th ive seen reall go shake qualiity even basic component manufactur",2
"linu engineer love lmg content acros channel much look forward lab content hope engineer team get camera time host rol",2
"us time linu smartest guy room video clear show team built expert respective field make linu look like child kudo linu lmg youve grown beyond imagin best",2
"ho crap look chroma system back design power suppli look like guy went multimeter oscilloscop terrible mak accurate voltage measurement bit adc look waveform",0
"love direction channel go tech channel even best trust on go review product bas experience thing measure youre real go mathematical demonstrate product quality one love",2
"excit ltt lab lot content everyone seem say excit see enthusiastic new crew get thing runn",2
"adore work relationship linu team employe walk eggshell around bos wish could like",2
"lmg growth honest someth tru aspire content want watch technical depth engineer orient sciencebas content make consumer much much educat topic thu pick product pick best choice well know exact pick help great buyer remorse",2
"love people ltt add lab clear theyre knowledgeable passionate tech lab gonna killer love",2
"linu turn key light bounce wall get much softer glow shadow way even light simple fix sure along lin people got idea beam light direct face",2
"continu new favorite air confidence comfort presence like show know thing go fine",2
"manag set solder station one box need incredib amus",2
"linu get employe cas stuff stolen office also linu proud talk stuff stolen work h us upgrad setup linu us monitor table also linu us monitor chair video hilariou",2
"linu table also linu let use chair",1
"man sav day riley need give theme like brian electrician",2
"continu favourite h like incredib patient longsuffer dad get thing",2
"treasure channel long lack fixit type sad appear quite capable funny",2
"blow mind quick became rock upon thing linu standslove",2
"hey linu good trick stream light bounce wall much easier ey nice softer look also indoor recommend hypercardioid mic look like short shotgun like audiotechnica",2
"unstoppable experiment liquid nitrogen",2
"one best thing dude never tak credit wheb achiev someth alway respect audience team alway polite video congratulate achievement come everyth",2
"liquid nitrogen",1
"liquid nitrogen never end poli",2
"view lik power",2
"epozhum safety first priority goggl",2
"congratulation achiev million subscriber",2
tech,1
"liquid nitrogen",1
"guy quick note ne highend tech order well college save much money college pay tuition full student loan soon possible instead spend liabiliti like gadget get bare minimum ne spend money product know go us year laptop dont overspend phone headphon lamp tablet etc",1
"hilariou focu group year ago best buy ask college student advertise back school one kid next said maybe someone like mkbhd talk product well",1
"everyone say throw hat well prospective college student ne spend money flagship product graduate busines degree us year old laptop base ipad late product work flawless intention replac recommendation list on would never able afford even job work well research forum see peer say best value product promise buy flagship product quick see ne",2
"shoutout oneplu phone huawei laptop gett university feel premium much les bonu up ikea articulat lamp see homework incredib well without eye strain old door refinish use desktop wir earbud hardware store earmuff noisecancell headphon set han underwear target also last whole ride",2
"best buy want sponsor back school type video push high end stuff marqu say les",1
"item recommend pretty pricey student student anymore one budget alternativ would make video lot better",1
"dont necessari ne highend latest tech university us macbook pro throughout year uni iphone work fine what important remain focus gett degree graduat",2
"personal feel like real touch student wont able afford case anyone need believe back school video honest best on ive seen topic consider check mak purchase decision",2
"hey everyone good take video love recommendation plan mak another video maybe also include budget option best value option tell year study college university tech need bas coursesprogramme took education engineer student require computer spec run bim software sure programm see student place ram laptop also setup university year hope help anyone look buy someth collegeuniversity year best laptop asu upgrad ssd additional ram phone vivo mouse logitech keyboard tecware tkl ver",2
